0Dreamstars.ModTranslation-name|模组翻译
Dreamstars.ModTranslation-description|本模组用于翻译其他模组的文本。<LINE>翻译范围: 区域,蛞蝓猫,珍珠,对话,挑战或使命,开发者评论<LINE><LINE>本模组目前支持简体中文和西班牙语，<LINE>如果你想协助我们进行翻译或做出建议，<LINE>请在QQ群内联系我们:@墨色烟云,@实验喵 QQ群号：690841592（欢迎加入以反馈意见）<LINE><LINE>或在Discord上联系我:@MoseYanyun<LINE><LINE>本模组的非steam安装在这里：https://github.com/InkCloudStarsDream/Rainworld-ModTranslation<LINE><LINE>贡献者：@墨色烟云，@实验喵，@Celen，@方糖冰猫，@zbiotr，@该隐的世界碎片集，@正切茶
//moreslugcat
we forgot to render this one sorry|我们忘记渲染了骚瑞
Painage System|受苦系统
Nachos Will Never Be The Same|永远没有一样的炸玉米片
TOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBS|管AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAN子
Andrew's Basement|Andrew的地下室
Moist|潮湿
Tower of Gains|获利高塔
Uberhang|下优步挂
Thanks Andrew.|谢了，Andrew。

//2923214961
onh-description|为“新地平线”区域拓展beta未使用的内容<LINE>包括8个新区域和1200多个新屏幕<LINE><LINE>更多蛞蝓猫拓展兼容性说明<LINE>在拓展菜单中，将此模组放置在更多蛞蝓猫拓展上方。
Industrial District|工业遗迹
Scavenger Colony|拾荒营地
Industrial Port Area|工业码头区
Yeah this area is scrapped lol|此区域已废弃
Sorry this one's still in NNH so we can't show you|此区域属于新地平线模组，所以很抱歉不能展示
Hold right to exit animation|长按右键以退出动画
Suburbs|市区
Oil Station|石油基站
Living Areas|生活区
Corrupted Refinery|腐蚀炼油厂
Refinery|炼油厂
Refinery (Pump Station)|炼油厂（泵站）
Communication Relay|通信中继器
Info (You can swim on the surface of oil, but if you dive, you will drown)|信息（你可以在油面上游泳，但如果你下潜，你会淹死的）
Subway Lines|地下铁轨
Subway lines|地下铁轨
Abandoned Drainage System|废弃排水系统
Incinerator|焚化炉
Pump Station (Beta)|泵站（Beta）
Pump Station (Alpha)|泵站（Alpha）
Swamplands|沼泽
Swamplands (Purple)|沼泽（皇家紫限定版）
Sewers|下水道
Farlands|远岛
Limestone Caves|石灰岩洞穴
Stonepit|石穴
Central Factory|中央工厂
Central Factory - Sector A|中央工厂 - A区
Central Factory - Sector A - Reactor|中央工厂 - A区 - 反应堆
Reactor Core - Void fluid convertor|反应堆芯 - 虚空流体转换器
Central Factory - Sector B - Water Intake System|中央工厂 - B区 - 取水系统
Central Factory - Facade|中央工厂 - 立面
Central Factory - Sector C|中央工厂 - C区
Central Factory - Sector C - Chimney Canopy|中央工厂 - C区 - 烟囱顶棚
Void fluid Central - Sector A|虚空流体中心 - A区
Void fluid Central - Sector A - Reactor|虚空流体中心 - A区 - 反应堆
