0Dreamstars.ModTranslation-name|Traducciones para mods
Dreamstars.ModTranslation-description|Este mod se utiliza para traducir textos que otros mods añaden.<LINE><LINE>áreas de traducción:<LINE>regiones de mods<LINE>gatobabosas de mods<LINE>perlas personalizadas<LINE>diálogos personalizados<LINE>misiones personalizadas<LINE>comentarios de desarrollador personalizados<LINE><LINE>aquí la versión sin steam: https://github.com/InkCloudStarsDream/Rainworld-ModTranslation<LINE><LINE>Actualmente tiene soporte para el chino, son bienvenidos a ayudarnos a traducir en otros idiomas.<LINE><LINE>Si deseas ayudarnos a traducir o darnos algún consejo, siéntete libre de mandarme un MD en Discord: @MoseYanyun.<LINE><LINE>Colaboradores:<LINE>@MoseYanyun<LINE>@Exmeow<LINE>@Celen<LINE>@W1LD1CECA7<LINE>
TEXT ERROR|ERROR DE TEXTO
//moreslugcats
Thanks Andrew.|Gracias, Andrew.
Painage System|Sistema de Drenadolor
Nachos Will Never Be The Same|Los Nachos Nunca Serán Lo Mismo
we forgot to render this one sorry|nos olvidamos de renderizar esta, perdón
Tower of Gains|Torre de Beneficios
Uberhang|Superdesnivel
TOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBS|TUBERÍAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAS
Moist|Humedal
Andrew's Basement|Sótano de Andrew
//2923214961
Abyss|Abismo
Stormy lands|Tierras Tempestuosas
Railway|Vía Férrea
Rackdale|Rackdale
Central Factory|Fábrica Central
Central Factory - Sector A|Fábrica Central - Sector A
Central Factory - Sector A - Reactor|Fábrica Central - Sector A - Reactor
Reactor Core - Void fluid convertor|Núcleo del Reactor - Convertidor de Fluidos Vacíos
Central Factory - Sector B - Water Intake System|Fábrica Central - Sector B - Sistema de Entrada de Agua
Central Factory - Facade|Fábrica Central - Fachada
Central Factory - Sector C|Fábrica Central - Sector C
Central Factory - Sector C - Chimney Canopy|Fábrica Central - Sector C - Dosel de Chimeneas
Industrial District|Distrito Industrial
Scavenger Colony|Colonia de Carroñeros
Industrial Port Area|Área del Puerto Industrial
Hold right to exit animation|Mantén pulsado derecha para salir de la animación
Yeah this area is scrapped lol|Sí, esta área fue descartada xd
Sorry this one's still in NNH so we can't show you|Perdón, esta todavía está en NNH, así que no la podemos mostrar
Farlands|Tierras Lejanas
Limestone Caves|Cuevas de Caliza
Stonepit|Pedrera
Swamplands|Pantanos
Subway Lines|Líneas de Metro
Abandoned Drainage System|Sistema de Drenado Abandonado
Incinerator|Incinerador
Pump Station (Beta)|Central de Bombas de Agua (Beta)
Pump Station (Alpha)|Central de Bombas de Agua (Alfa)
Oil Station|Central Petrolera
Living Areas|Zonas de Trabajo
Corrupted Refinery|Refinería Corrupta
Refinery|Refinería
Refinery (Pump Station)|Refinería (Central de Bombas de Agua)
Communication Relay|Repetidor de Comunicación
Info (You can swim on the surface of oil, but if you dive, you will drown)|Información: Puedes nadar sobre la superficie del petróleo, pero si te sumerges, te ahogarás
Swamplands (Purple)|Pantanos (Morados)
Sewers|Alcantarillas
Suburbs|Barrios de las Afueras
//2923894366
Pilgrims' Ascent|Ascenso de los Peregrinos
Five Pebbles (Blind Spot)|Cinco Guijarros (Punto Ciego)
//2928752589
Center|Centrar
Switch|Cambiar
//2937471209
Friend|Amigo
The Friend|El amigo
THE FRIEND|EL AMIGO
Beastly in nature yet with a soft heart, you defy the order of life and find alliance among predators. <LINE> In the frozen wastes you call home, you search for those in need of companionship.|De naturaleza bestial pero con un corazón suave, desafías el orden de la vida y encuentra alianza entre los depredadores. <LINE> En el páramo helado que llamas hogar, buscas aquellos que necesitan compañerismo.
Finding family among their predators, The Friend braves<LINE>a harsh winter to find happiness|Hallando familia entre los depredadores, El Amigo se enfrenta<LINE>a un invierto duro para encontrar la felicidad.
Stalker|Acechador
The Stalker|El acechador
THE STALKER|EL ACECHADOR
Thriving in the snow, your ways are primal, tearing through flesh with tooth and claw. <LINE> Your agility is your strength as you scour the land for only the grandest of prey.|Prosperando en la nieve, tus formas son primitivas, arrancando la carne con garras y dientes. <LINE> Tu habilidad es tu fuerza mientras rastreas la tierra en busca de la presa más grande.
On the hunt for the sake of thrill,<LINE> The Stalker prowls the snow to the land's end|A la caza en aras de la ilusión,<LINE> El Acechador merodea la nieve hasta el final del mundo.
Poacher|Furtivo
The Poacher|El furtivo
THE POACHER|EL FURTIVO
Small, weak, yet crafty; set deadly traps to snare and kill your preferred prey.<LINE>Though the cold suits you poorly, you will find new purpose in your pursuits.|Pequeño y débil, pero hábil; coloca trampas mortales para cazar a tu presa preferida.<LINE>Aunque el frío te sienta muy mal, encontrarás un nuevo propósito en tus cazas.
In the destruction of their home, The Poacher<LINE>fights to keep their family's legacy alive|En la destrucción de su hogar, El Furtivo<LINE>lucha por mantener el legado de su familia con vida.
Dermis|Dermis
Abandoned Post|Puesto Abandonado
Rotten God|Dios Putrefacto
Rotten God (Five Pebbles)|Dios Putrefacto (Cinco Guijarros)
Rotten God (Decaying Modules)|Dios Putrefacto (Módulos Deteriorados)
Corpse|Cadáver
Rotten God (Infected Channels)|Dios Putrefacto (Canales Infectados)
Rotten God (Dead Heart)|Dios Putrefacto (Corazón Muerto)
Bedrock|Roca Madre
Dark Bog|Ciénaga Oscura
The Mountain|La Montaña
World's Ceiling|Techo del Mundo
Cliffside|Pared del Acantilado
//2939738770
Beecat|Gatoabeja
The Beecat|El gatoabeja
BEECAT|GATOABEJA
A regular bee?|¿Una abeja normal?
SecretScugDontTryThis|Gatobabosasecretonolopruebes
The SecretScugDontTryThis|El gatobabosasecretonolopruebes
SECRETSCUGDONTTRYTHIS|GATOBABOSASECRETONOLOPRUEBES
Coming soon?|¿Muy pronto?
//2941565790
Determines how much CRS should log|Determina cuánto debería registrar el CRS.
Checked to stream custom threat themes from file, unchecked to load them on threat shuffle (may cause infrequent freezes)|Marcada para escuchar en tiempo real los temas de amenaza personalizados desde el archivo, desmarcada para cargarlos de forma aleatoria (puede causar tirones infrecuentes).
Checked to fix room index cache misalignment, a bug which causes items and creatures to disappear from shelters. Only uncheck if offscreen creatures are disappearing|Marcada para arreglar la desalineación de la caché de los índices de las salas, un bug que provoca que los objetos y criaturas desaparezcan de los refugios. Desmárcala solo si las criaturas de fuera de la pantalla están desapareciendo.
//2954410581
Vanguard|Vanguardia
The Vanguard|La vanguardia
THE VANGUARD|LA VANGUARDIA
A vangard exploring the world with incredible way of movement.<LINE>Traveling through the rugged land is just as a stroll for you, but your mission is not so easy......|Una vanguardia explorando el mundo con increíbles movimientos.<LINE>Viajar por una tierra escabrosa es solo un paseo para ti, pero tu misión no será tan fácil...
Five Pebbles (The Rot)|Cinco Guijarros (La Putrefacción)
//2960863440
Incandescent|Incandescente
The Incandescent|La incandescente
THE INCANDESCENT|LA INCANDESCENTE
A recluse capable of astounding mobility. Emotions stir you into a search for brighter lands, but<LINE>journeying through a wasteland so cold and cruel will require careful management of your needs.|Una ermitaña capaz de tener una movilidad sorprendente. Las emociones te incitan a buscar tierras más brillantes,<LINE>pero viajar a través de un páramo tan frío y cruel requerirá de la cuidadosa gestión de tus necesidades.
Auxiliary Transmission Array|Antenas de Transmisión Auxiliar
Facility Roots (Western Intake)|Base de la Instalación (Entrada Oeste)
Suburban Zero|Minucia Suburbana
Flooded Conduits|Conductos Inundados
//2961788239
Outsider|Forastero
The Outsider|El forastero
THE OUTSIDER|EL FORASTERO
A quick and light vegetarian animal that have bioluminescence and short-time flight ability.<LINE>With amazing vigilance and flexible skills, it seeks a foothold in this dark foreign land.|Un animal vegetariano rápido y ligero que tiene bioluminiscencia y una habilidad de vuelo breve.<LINE>Con una vigilancia asombrosa y habilidades flexibles, busca un punto de apoyo en esta tierra extraña y oscura.
Dark Loam|Suelo Franco Oscuro
Degenerate Cathedral|Catedral Degenerada
Dry Ditch|Cuneta Seca
Dust Wasteland|Páramo de Polvo
Discontinued Factories|Fábricas Discontinuadas
Auroral Mercury|Mercurio Auroral
//2961854585
TECHNOMANCER|TECNOMANTE
The TECHNOMANCER|EL TECNOMANTE
THE TECHNOMANCER|EL TECNOMANTE
Able to bend the ancient technology around you to your whim,<LINE>what sorts of things might you do with it?|Capaz de manejar la tecnología ancestral alrededor de ti a tu capricho,<LINE>¿qué tipo de cosas podrás hacer con ella?
VOYAGER|VIAJANTE
The VOYAGER|EL VIAJANTE
THE VOYAGER|EL VIAJANTE
As each cycle gets colder than the last, you must find your way in a world increasingly hostile.|Mientras cada ciclo se vuelve más frío que el anterior, debes hallar tu camino en un mundo cada vez más hostil.
True Anointed Citadel|Ciudadela Consagrada Auténtica
Subway|Metro
Maintenance|Mantenimiento
Aquifer|Acuífero
Pipework|Cañería
Silos|Conjuntos Agrícolas
Retaining Wall|Muro de Contención
//2964671523
Gravel-Eater|Comegrava
The Gravel-Eater|El comegrava
THE GRAVEL-EATER|EL COMEGRAVA
Awoken from a deep slumber, and tragically stuck in a delicate equilibrium. <LINE> Given a chance at life, will you ever find normalcy? |Despertado de una duermevela profunda y trágicamente adherido a un equilibrio delicado. <LINE> Otorgado con una oportunidad en la vida, ¿podrás hallar algún día la normalidad? 
Seeking refuge from their delacate balance, The Gravel-Eater<LINE>strides foreward through the constant pain|Buscando un refugio por su delicada estabilidad,<LINE>el Comegrava avanza a zancadas atravesando el dolor constante.
Fallen Cathedral|Catedral Caída
Solventicon|Solventicón
The Fissure|La Fisura
Deep Reservoir|Represa Profunda
Faulting Airducts|Conductos de Aire Defectuosos
Sunbaked Archipelago|Archipiélago Quemado
You are starving, find rocks and other objects to consume.|Tienes inanición, encuentra rocas y otros objetos que consumir.
While in the starved state, you have boosts in attacks and movement.|Mientras estés en un estado de inanición, tus ataques y movilidad mejorarán.
Holding UP while swallowing or while an object is in your stomach may craft something new.|Mantener pulsado ARRIBA mientras tragas o mientras esté un objeto en tu estómago hará que fabriques algo nuevo.
Options|Opciones
Gravel Eater Config|Configuraciones del Comegrava
Unlocked new config for Gravel Eater!|¡Nuevo ajuste desbloqueado para el Comegrava!
You are now nourished and full of gravel.|Ahora estás nutrido y lleno de grava.
You are more heavy and durable in this state, and can withstand some damage.|Eres más pesado y resistente en este estado, y puedes aguantar algo de daño.
You can spit out rocks and empty your stomach to return to the Malnourished state.|Puedes escupir rocas y vaciar tu estómago para regresar al estado Desnutrido.
Balance achieved|Estabilidad alcanzada
Little Experiment?|¿Pequeño experimento?
Alone again...|Otra vez en soledad...
Oh...|Oh...
You should leave quickly before the rain crushes you.|Debes irte enseguida antes de que te aplaste la lluvia.
Quickly, find a shelter nearby. It will protect you from my rushing waters.|Rápido, encuentra un refugio cercano. Te protegerá de mis impetuosas aguas.
Please find some safety for yourself. I want to see you again.|Por favor, encuentra un lugar del que resguardarte. Quiero verte otra vez.
...Stars...|... Estrellas...
pretty|hermosas.
...Night... coming... Soon...|... Está por... ser de... noche...
Night... You can stay. It will be fine.|Noche... puedes quedarte. No va a pasar nada.
Night is coming. Now, leave me alone.|Está por ser de noche. Ahora déjame en paz.
Take your offspring with you.|Llévate a tu retoño contigo.
Take your pet with you.|Llévate a tu mascota contigo.
I think night is approaching.|Creo que la noche se aproxima.
You can stay if you like, <PlayerName>! It will be fine.<LINE>The stars are beautiful, somtimes it's hard to see them through the rain and snow..|¡Puedes quedarte si quieres, <PlayerName>! No va a pasar nada.<LINE>Las estrellas son hermosas, a veces son difíciles de ver por la lluvia y la nieve.
Your family is welcome to stargaze too!|¡También puedes hacer que tu familia contemple las estrellas!
Your friend is welcome to stargaze too!|¡También puedes hacer que tu amigo contemple las estrellas!
Why have you taken all i have?|¿Por qué te has llevado todo lo que tengo?
Give it to me.|Dámelo.
Please bring it back to me.|Por favor, devuélvemelo.
Go away|Vete.
I have not forgotten the pain you have given me.|No he olvidado el dolor que me has causado.
I have so little left. Why is it that you hurt me?|Me queda tan poco. ¿Por qué me haces daño?
Please leave me alone.|Por favor, déjame en paz.
Oh, little experiment!|Oh, ¡pequeño experimento!
I... don't even know what to say.|Yo... no sé ni qué decir.
Hm? You can understand me, can't you?|¿Hm? Puedes enterderme, ¿verdad?
Some solution you were while in that vegetative state.|Eras, en cierto punto, una solución mientras estabas en ese estado vegetativo.
I tried so hard to wake you; you were my last hope.|Intenté todo lo posible para despertarte, eras mi última esperanza.
But who am I to put such trust in a simple creature?|Pero quién soy yo como para dar dicha confianza a una simple criatura.
There is nothing you can do now, nothing left to save.|No hay nada que puedas hacer ahora, nada que salvar.
Though I would enjoy the company for a while longer before you move on, if you please.|Aunque disfrutaría de la compañía un rato más antes de que sigas avanzando, si me lo permites.
Hello again, little one.|Hola otra vez, pequeño.
I bet you're wondering how it came to be that you are my creation.|Apuesto a que te estás preguntando cómo es que resultaste ser de mi creación.
I took note of the persistence and... annoyance... of your kind repeatedly entering the floor of my chamber.|Tomé nota de la persistencia y... molestia... de los de tu especie entrando repetidamente al suelo de mi cámara.
No easy feat for just any creature, might I add.|Es toda una proeza para cualquier criatura, agregaría yo.
So, I deep-scanned one for myself to create a template and used the DNA scan to replicate my own.|Entonces, escaneé uno en profundidad para crear una plantilla y utilicé un escaneo de ADN para replicar el mío.
A method used by some of my old peers, you see...|Un método usado por algunos de mis viejos colegas, ¿entiendes?
//2972537492
Parasite|Parásito
The Parasite|El parásito
THE PARASITE|EL PARÁSITO
A weak, feeble being, born with the power to control.<LINE>Steal the power of your rivals, and rise above them all.|Un ser débil, nacido con el poder de controlar.<LINE>Roba la capacidad de tus rivales y aventájate frente a ellos.
A being born to steal lives, an experiment with no true purpose.<LINE>With no name, it sets out to fill the void left by its creator.|Un ser nacido para robar vidas, un experimento sin un propósito verdadero.<LINE>Sin ningún nombre, sale para llenar el vacío abandonado por su creador.
Pick up / Eat button interactions:|Instrucciones del botón de recoger/comer:
Tap to pick up objects|Pulsa para recoger objetos
Hold to eat|Mantén pulsado para comer
